frame,health,gt_x,gt_y,est_x,est_y,est_z,slam_dx,slam_dy
169,1,4.16285,-2.45927,4.12795,-2.52145,0.0,-0.0033925,-0.0072329
170,1,4.07172,-2.6968,4.04479,-2.75601,0.0,-0.0032831,-0.0063165
171,1,3.97031,-2.90709,3.94591,-2.96346,0.0,-0.0036195,-0.0054858
172,1,3.85887,-3.08802,3.83311,-3.14579,0.0,-0.0039134,-0.0047189
173,1,3.73768,-3.23777,3.71042,-3.29703,0.0,-0.0040691,-0.0037984
174,1,3.60705,-3.35483,3.58394,-3.42134,0.0,-0.0040691,-0.0030203
175,1,3.46731,-3.438,3.43634,-3.50889,0.0,-0.0045197,-0.0018948
176,1,3.31881,-3.48647,3.29153,-3.55761,0.0,-0.0042866,-0.0008054
177,1,3.16193,-3.49972,3.13847,-3.57365,0.0,-0.0043897,0.0001531
178,1,2.99705,-3.47764,2.97232,-3.54938,0.0,-0.0045992,0.0013476
179,1,2.82461,-3.42044,2.79611,-3.49295,0.0,-0.0047558,0.0022987
180,1,2.64503,-3.3287,2.61058,-3.39986,0.0,-0.0048736,0.0033747
181,0,2.45878,-3.20334,2.423,-3.27106,0.0,-0.0047891,0.0043949
182,0,2.2663,-3.04564,2.22646,-3.10888,0.0,-0.0049099,0.0053761
183,0,2.06811,-2.85719,2.02473,-2.92512,0.0,-0.0049707,0.0060084
184,0,1.86469,-2.63988,1.82316,-2.70849,0.0,-0.0048354,0.006939
185,0,1.65656,-2.39592,1.61699,-2.46203,0.0,-0.0048466,0.0078028
186,0,1.44425,-2.12776,1.4073,-2.18992,0.0,-0.0048443,0.0085434
187,0,1.22828,-1.83811,1.19127,-1.89734,0.0,-0.0049421,0.0091487
188,0,1.00922,-1.52991,0.97117,-1.5929,0.0,-0.0050097,0.0095009
189,1,0.7876,-1.20625,0.74507,-1.26296,0.0,-0.0050781,0.0102476
190,1,0.564,-0.87042,0.51775,-0.92504,0.0,-0.0050808,0.0104782
