frame,x,y,z,dx,dy,dz
196,-0.787604,1.206250,4.000000,-0.787604,1.206250,0.000000
197,-1.009218,1.529905,4.000000,-1.009218,1.529905,0.000000
198,-1.228284,1.838111,4.000000,-1.228284,1.838111,0.000000
199,-1.444246,2.127756,4.000000,-1.444246,2.127756,0.000000
200,-1.656560,2.395915,4.000000,-1.656560,2.395915,0.000000
201,-1.864690,2.639880,4.000000,-1.864690,2.639880,0.000000
202,-2.068109,2.857187,4.000000,-2.068109,2.857187,0.000000
203,-2.266304,3.045643,4.000000,-2.266304,3.045643,0.000000
204,-2.458775,3.203344,4.000000,-2.458775,3.203344,0.000000
205,-2.645034,3.328698,4.000000,-2.645034,3.328698,0.000000
206,-2.824611,3.420438,4.000000,-2.824611,3.420438,0.000000
207,-2.997053,3.477640,4.000000,-2.997053,3.477640,0.000000
208,-3.161925,3.499724,4.000000,-3.161925,3.499724,0.000000
209,-3.318809,3.486468,4.000000,-3.318809,3.486468,0.000000
210,-3.467310,3.438005,4.000000,-3.467310,3.438005,0.000000
211,-3.607051,3.354826,4.000000,-3.607051,3.354826,0.000000
212,-3.737682,3.237770,4.000000,-3.737682,3.237770,0.000000
213,-3.858870,3.088019,4.000000,-3.858870,3.088019,0.000000
214,-3.970311,2.907086,4.000000,-3.970311,2.907086,0.000000
215,-4.071722,2.696796,4.000000,-4.071722,2.696796,0.000000
216,-4.162847,2.459275,4.000000,-4.162847,2.459275,0.000000
217,-4.243457,2.196920,4.000000,-4.243457,2.196920,0.000000
218,-4.313348,1.912380,4.000000,-4.313348,1.912380,0.000000
219,-4.372343,1.608530,4.000000,-4.372343,1.608530,0.000000
220,-4.420293,1.288436,4.000000,-4.420293,1.288436,0.000000
221,-4.457076,0.955332,4.000000,-4.457076,0.955332,0.000000
222,-4.482601,0.612581,4.000000,-4.482601,0.612581,0.000000
223,-4.496803,0.263644,4.000000,-4.496803,0.263644,0.000000
224,-4.499645,-0.087955,4.000000,-4.499645,-0.087955,0.000000
225,-4.491120,-0.438666,4.000000,-4.491120,-0.438666,0.000000
226,-4.471251,-0.784948,4.000000,-4.471251,-0.784948,0.000000
227,-4.440087,-1.123303,4.000000,-4.440087,-1.123303,0.000000
228,-4.397707,-1.450315,4.000000,-4.397707,-1.450315,0.000000
229,-4.344217,-1.762681,4.000000,-4.344217,-1.762681,0.000000
230,-4.279754,-2.057248,4.000000,-4.279754,-2.057248,0.000000
231,-4.204480,-2.331042,4.000000,-4.204480,-2.331042,0.000000
232,-4.118585,-2.581296,4.000000,-4.118585,-2.581296,0.000000
233,-4.022286,-2.805484,4.000000,-4.022286,-2.805484,0.000000
234,-3.915827,-3.001343,4.000000,-3.915827,-3.001343,0.000000
235,-3.799476,-3.166895,4.000000,-3.799476,-3.166895,0.000000
236,-3.673527,-3.300467,4.000000,-3.673527,-3.300467,0.000000
237,-3.538298,-3.400711,4.000000,-3.538298,-3.400711,0.000000
238,-3.394131,-3.466615,4.000000,-3.394131,-3.466615,0.000000
239,-3.241391,-3.497513,4.000000,-3.241391,-3.497513,0.000000
240,-3.080462,-3.493094,4.000000,-3.080462,-3.493094,0.000000
241,-2.911752,-3.453401,4.000000,-2.911752,-3.453401,0.000000
242,-2.735686,-3.378836,4.000000,-2.735686,-3.378836,0.000000
243,-2.552710,-3.270151,4.000000,-2.552710,-3.270151,0.000000
244,-2.363286,-3.128445,4.000000,-2.363286,-3.128445,0.000000
245,-2.167892,-2.955148,4.000000,-2.167892,-2.955148,0.000000
246,-1.967021,-2.752010,4.000000,-1.967021,-2.752010,0.000000
247,-1.761182,-2.521082,4.000000,-1.761182,-2.521082,0.000000
248,-1.550893,-2.264696,4.000000,-1.550893,-2.264696,0.000000
249,-1.336687,-1.985441,4.000000,-1.336687,-1.985441,0.000000
250,-1.119104,-1.686138,4.000000,-1.119104,-1.686138,0.000000
251,-0.898695,-1.369808,4.000000,-0.898695,-1.369808,0.000000
252,-0.676015,-1.039646,4.000000,-0.676015,-1.039646,0.000000
253,-0.451628,-0.698985,4.000000,-0.451628,-0.698985,0.000000
254,-0.226099,-0.351266,4.000000,-0.226099,-0.351266,0.000000
255,-0.000000,-0.000000,4.000000,-0.000000,-0.000000,0.000000
256,0.226099,0.351266,4.000000,0.226099,0.351266,0.000000
257,0.451628,0.698985,4.000000,0.451628,0.698985,0.000000
258,0.676015,1.039646,4.000000,0.676015,1.039646,0.000000
