frame,x,y,z,qx,qy,qz,qw
127,-0.00752696767449379,-0.00705822603777051,0.9998156428337097,-14.574365615844727,-18.089725494384766,-15.996639251708984,0.01619160734117031
128,-0.007446601986885071,-0.007068967446684837,0.9998186826705933,-14.691113471984863,-18.23552894592285,-16.13203239440918,0.016039695590734482
129,-0.007357731461524963,-0.007162556517869234,0.9998221397399902,-14.808258056640625,-18.38143539428711,-16.266786575317383,0.015819169580936432
130,-0.0072629740461707115,-0.007233120035380125,0.9998252391815186,-14.925429344177246,-18.527435302734375,-16.40163803100586,0.0156343262642622
131,-0.007158986292779446,-0.007330460473895073,0.9998284578323364,-15.042694091796875,-18.6733455657959,-16.53612518310547,0.015429537743330002
132,-0.007058851420879364,-0.007375902961939573,0.9998323917388916,-15.160063743591309,-18.81941032409668,-16.670305252075195,0.015197653323411942
133,-0.006933772005140781,-0.007566308137029409,0.9998362064361572,-15.277562141418457,-18.965463638305664,-16.80442237854004,0.01491160411387682
134,-0.006803365424275398,-0.007591322995722294,0.9998407959938049,-15.394953727722168,-19.111474990844727,-16.939001083374023,0.01464580837637186
135,-0.006638421677052975,-0.007717213127762079,0.9998447299003601,-15.512364387512207,-19.25755500793457,-17.07341766357422,0.014386644586920738
136,-0.006459468510001898,-0.007864002138376236,0.9998499751091003,-15.629815101623535,-19.403627395629883,-17.20796775817871,0.014019833877682686
137,-0.0063035921193659306,-0.00790689792484045,0.9998551607131958,-15.74730110168457,-19.549686431884766,-17.34246063232422,0.013694709166884422
138,-0.006150975823402405,-0.007917630486190319,0.9998604655265808,-15.864702224731445,-19.69573402404785,-17.47697639465332,0.013361876830458641
139,-0.006014407612383366,-0.007928888313472271,0.9998648762702942,-15.98200798034668,-19.841659545898438,-17.611610412597656,0.013085207901895046
140,-0.005895409733057022,-0.007970456033945084,0.9998679757118225,-16.0989933013916,-19.9874210357666,-17.746694564819336,0.012874050065875053
141,-0.005798783618956804,-0.008020933717489243,0.999869704246521,-16.21560287475586,-20.1330509185791,-17.882320404052734,0.012756041251122952
142,-0.005700987298041582,-0.008079702965915203,0.9998719692230225,-16.331953048706055,-20.27863311767578,-18.018402099609375,0.01258165668696165
143,-0.005608998704701662,-0.008142178878188133,0.9998737573623657,-16.448165893554688,-20.424070358276367,-18.1547908782959,0.012440464459359646
144,-0.005515805911272764,-0.008221104741096497,0.9998748302459717,-16.564226150512695,-20.5694580078125,-18.29128074645996,0.01234594639390707
145,-0.005435432773083448,-0.008245352655649185,0.9998761415481567,-16.680103302001953,-20.714723587036133,-18.428190231323242,0.012254460714757442
146,-0.0053445096127688885,-0.008328751660883427,0.9998760223388672,-16.795923233032227,-20.859905242919922,-18.565162658691406,0.012251230888068676
147,-0.005274557508528233,-0.008336094208061695,0.9998764395713806,-16.91173553466797,-21.005008697509766,-18.702255249023438,0.01224034558981657
148,-0.0052177137695252895,-0.008286885917186737,0.9998774528503418,-17.027542114257812,-21.150043487548828,-18.83926010131836,0.012218005955219269
149,-0.005152878817170858,-0.008241677656769753,0.9998789429664612,-17.143301010131836,-21.29500961303711,-18.97620964050293,0.01215117797255516
150,-0.005090161692351103,-0.008254698477685452,0.9998791813850403,-17.25893211364746,-21.43981170654297,-19.11334228515625,0.012149641290307045
151,-0.005019044037908316,-0.008263771422207355,0.9998797178268433,-17.374372482299805,-21.584497451782227,-19.25092124938965,0.012131146155297756
152,-0.004955357871949673,-0.008248243480920792,0.9998806118965149,-17.489707946777344,-21.72908592224121,-19.38861656188965,0.012091100215911865
153,-0.004891437012702227,-0.008246536366641521,0.9998813271522522,-17.605060577392578,-21.8736629486084,-19.526412963867188,0.012057572603225708
154,-0.004809667821973562,-0.008276715874671936,0.9998823404312134,-17.720338821411133,-22.01821517944336,-19.66448211669922,0.011993326246738434
155,-0.004732486326247454,-0.008260320872068405,0.9998840093612671,-17.835573196411133,-22.162708282470703,-19.80288314819336,0.011891677975654602
156,-0.004681058693677187,-0.008175848051905632,0.9998856782913208,-17.9508056640625,-22.307117462158203,-19.941207885742188,0.01183207705616951
157,-0.00459793908521533,-0.008266928605735302,0.9998854398727417,-18.066158294677734,-22.451555252075195,-20.079261779785156,0.011818544007837772
158,-0.0045304368250072,-0.008292398415505886,0.9998862147331238,-18.181306838989258,-22.595935821533203,-20.217626571655273,0.01175898127257824
159,-0.004451426677405834,-0.008421970531344414,0.9998857378959656,-18.29628562927246,-22.740196228027344,-20.356176376342773,0.01173863559961319
160,-0.0043606022372841835,-0.008648695424199104,0.9998844861984253,-18.410947799682617,-22.88426971435547,-20.495302200317383,0.011719525791704655
161,-0.004270111210644245,-0.008882428519427776,0.9998832941055298,-18.52519416809082,-23.028182983398438,-20.635229110717773,0.011676599271595478
162,-0.004193906206637621,-0.009002103470265865,0.9998833537101746,-18.639076232910156,-23.171985626220703,-20.775711059570312,0.011607060208916664
163,-0.004128959029912949,-0.009069778956472874,0.9998839497566223,-18.752803802490234,-23.315763473510742,-20.91635513305664,0.01152278482913971
164,-0.0040288642048835754,-0.00920553132891655,0.9998845458030701,-18.86659812927246,-23.459543228149414,-21.056806564331055,0.011401878669857979
165,-0.003982985857874155,-0.009155397303402424,0.9998871684074402,-18.98004150390625,-23.603181838989258,-21.19773292541504,0.0112276840955019
166,-0.003961961250752211,-0.00901070237159729,0.9998908638954163,-19.093217849731445,-23.746646881103516,-21.339069366455078,0.011018715798854828
167,-0.00395053718239069,-0.00879338663071394,0.9998955130577087,-19.20611572265625,-23.890077590942383,-21.480907440185547,0.010776238515973091
168,-0.0038920368533581495,-0.008783254772424698,0.9998977780342102,-19.31913948059082,-24.033584594726562,-21.622791290283203,0.010593822225928307
169,-0.0038148220628499985,-0.00876633357256651,0.9998999834060669,-19.433002471923828,-24.177417755126953,-21.763404846191406,0.01042467262595892
170,-0.0037441644817590714,-0.008772953413426876,0.9999014139175415,-19.547143936157227,-24.321300506591797,-21.90358543395996,0.010305807925760746
171,-0.0036672307178378105,-0.008837264962494373,0.9999018311500549,-19.661531448364258,-24.46512794494629,-22.043312072753906,0.010239570401608944
