frame,x,y
501,1.039618,-2.016764
502,1.039479,-2.016548
503,1.127975,-2.228787
504,1.127975,-2.232961
505,1.127685,-2.231795
506,1.127265,-2.225069
507,1.126806,-2.220358
508,1.228397,-2.217633
509,1.227716,-2.216614
510,1.226985,-2.214316
511,1.226168,-2.212998
512,1.225478,-2.213360
513,1.224895,-2.211577
514,1.224425,-2.209406
515,1.318290,-2.298412
516,1.318050,-2.301974
517,1.317899,-2.303461
518,1.317825,-2.304072
519,1.317615,-2.304399
520,1.317488,-2.305683
521,1.317254,-2.307764
522,1.316997,-2.310701
523,1.421062,-2.706812
524,1.420337,-2.701894
525,1.419629,-2.699679
526,1.418987,-2.694456
527,1.418398,-2.690402
528,1.417782,-2.684066
529,1.417214,-2.676964
530,1.416885,-2.666613
531,1.516801,-2.663333
532,1.516241,-2.664418
533,1.515638,-2.664434
534,1.515057,-2.666679
535,1.514554,-2.670834
536,1.514217,-2.674241
537,1.513983,-2.675597
538,1.607665,-2.844849
539,1.607032,-2.853552
540,1.606389,-2.863038
541,1.605688,-2.872673
542,1.605108,-2.881171
543,1.604584,-2.886724
544,1.604086,-2.893378
545,1.705766,-2.910912
546,1.704786,-2.916365
547,1.703812,-2.919704
548,1.702859,-2.923312
549,1.702034,-2.928623
550,1.701308,-2.935100
551,1.798083,-3.184158
552,1.797278,-3.207223
553,1.796435,-3.233078
554,1.795476,-3.259234
555,1.794600,-3.286122
556,1.793656,-3.309339
557,1.888261,-3.118879
558,1.887619,-3.119044
559,1.886819,-3.118845
560,1.885985,-3.116510
561,1.885091,-3.115558
562,1.884091,-3.114990
563,1.883123,-3.117931
564,1.882143,-3.125279
565,1.881196,-3.134354
566,1.880222,-3.140272
567,1.879349,-3.144727
568,1.878467,-3.148827
569,1.877502,-3.155562
570,1.876608,-3.164718
571,1.875682,-3.173482
572,1.874737,-3.179438
573,1.873799,-3.187687
574,1.872935,-3.195362
575,1.872174,-3.204388
576,1.871564,-3.210672
577,1.871073,-3.215596
578,1.870638,-3.220883
579,1.870209,-3.224861
580,1.869762,-3.227870
581,1.869365,-3.229525
582,1.869052,-3.232790
583,1.868756,-3.235958
584,1.868430,-3.237916
585,1.868128,-3.240564
586,1.867776,-3.246542
587,1.867397,-3.249901
588,1.866986,-3.250960
589,1.866616,-3.251454
590,1.866169,-3.249203
591,1.865734,-3.247526
592,1.865352,-3.246038
593,1.864934,-3.247792
594,1.864413,-3.255353
595,1.864029,-3.269090
596,1.863650,-3.285359
597,1.863404,-3.297223
598,1.863209,-3.307278
599,1.863123,-3.315258
600,1.863090,-3.322307
601,1.863182,-3.328503
602,1.863348,-3.334297
603,1.863484,-3.340264
604,1.863582,-3.347923
605,1.863656,-3.357700
606,1.863709,-3.368620
607,1.863768,-3.377124
608,1.863893,-3.382365
609,1.864171,-3.386959
610,1.864813,-3.389065
611,1.865435,-3.388889
612,1.865861,-3.389172
613,1.866044,-3.387918
614,1.866222,-3.388430
615,1.866571,-3.392028
616,1.866681,-3.404535
617,1.866571,-3.419825
618,1.866266,-3.437291
619,1.865843,-3.454810
620,1.865085,-3.472917
621,1.864419,-3.485903
622,1.863505,-3.493793
623,1.862703,-3.498960
624,1.861966,-3.497294
625,1.861140,-3.491091
626,1.860285,-3.482108
627,1.859512,-3.474014
628,1.858813,-3.468561
629,1.858204,-3.466841
630,1.857692,-3.467444
631,1.857100,-3.467656
632,1.856653,-3.468849
633,1.856304,-3.473738
634,1.856105,-3.479993
635,1.855889,-3.488195
636,1.855762,-3.492127
637,1.855519,-3.492899
638,1.855176,-3.493695
639,1.854945,-3.498358
640,2.020915,-3.607296
641,2.020320,-3.615218
642,2.019767,-3.618586
643,2.019343,-3.614868
644,2.019009,-3.613572
645,2.018618,-3.610904
646,2.018213,-3.609668
647,2.017668,-3.609219
648,2.096628,-3.683817
649,2.096000,-3.688535
650,2.095438,-3.693113
651,2.094828,-3.697116
652,2.094337,-3.698417
653,2.094062,-3.690231
654,2.093707,-3.682808
655,2.093295,-3.670796
656,2.165814,-3.589215
657,2.165350,-3.593351
658,2.164885,-3.597530
659,2.164391,-3.600091
660,2.163973,-3.603002
661,2.163728,-3.608204
662,2.226982,-3.505856
663,2.226911,-3.515312
664,2.226867,-3.525339
665,2.226630,-3.531742
666,2.226139,-3.533663
667,2.225976,-3.541756
668,2.288846,-3.440586
669,2.288757,-3.450464
670,2.288574,-3.457843
671,2.288079,-3.462212
672,2.287550,-3.466559
673,2.287002,-3.472769
674,2.286525,-3.477882
675,2.286043,-3.480502
676,2.344941,-3.326142
677,2.345213,-3.338998
678,2.344894,-3.342104
679,2.343967,-3.337044
680,2.342318,-3.322797
681,2.341493,-3.319778
682,2.341946,-3.335093
683,2.319901,-3.139685
684,2.366731,-2.940072
685,2.365808,-2.924432
686,2.364754,-2.901317
687,2.363854,-2.879257
688,2.363828,-2.865626
689,2.363689,-2.850712
690,2.363662,-2.839816
691,2.412914,-2.815941
692,2.413204,-2.818392
693,2.413834,-2.823568
694,2.414598,-2.826020
695,2.415154,-2.823270
696,2.415652,-2.820966
697,2.415998,-2.818181
698,2.416110,-2.813530
699,2.453976,-2.675728
700,2.454032,-2.666739
701,2.454257,-2.660214
702,2.454606,-2.654974
703,2.454935,-2.648928
704,2.455029,-2.639139
705,2.454902,-2.626331
706,2.454576,-2.613988
707,2.496032,-2.660194
708,2.496281,-2.647475
709,2.496704,-2.635940
710,2.497151,-2.622686
711,2.497701,-2.609346
712,2.498261,-2.602992
