frame,dx,dy,dz
574,-0.22107840,-0.02906373,-0.03771675
575,-0.22101758,-0.02914582,-0.03770143
576,-0.22096571,-0.02920298,-0.03768915
577,-0.22092840,-0.02924777,-0.03767926
578,-0.22090665,-0.02929586,-0.03767049
579,-0.22089462,-0.02933203,-0.03766185
580,-0.22089090,-0.02935940,-0.03765285
581,-0.22089100,-0.02937446,-0.03764486
582,-0.22089382,-0.02940415,-0.03763855
583,-0.22090015,-0.02943297,-0.03763258
584,-0.22090566,-0.02945078,-0.03762603
585,-0.22091374,-0.02947487,-0.03761995
586,-0.22092062,-0.02952924,-0.03761286
587,-0.22092210,-0.02955979,-0.03760523
588,-0.22091886,-0.02956942,-0.03759694
589,-0.22091812,-0.02957392,-0.03758949
590,-0.22091228,-0.02955344,-0.03758049
591,-0.22090197,-0.02953819,-0.03757173
592,-0.22089447,-0.02952465,-0.03756404
593,-0.22089043,-0.02954061,-0.03755563
594,-0.22089087,-0.02960938,-0.03754514
595,-0.22089401,-0.02973433,-0.03753740
596,-0.22090396,-0.02988230,-0.03752977
597,-0.22090940,-0.02999021,-0.03752482
598,-0.22091071,-0.03008167,-0.03752089
599,-0.22091931,-0.03015425,-0.03751916
600,-0.22092615,-0.03021837,-0.03751850
601,-0.22093010,-0.03027472,-0.03752035
602,-0.22093098,-0.03032742,-0.03752369
603,-0.22092569,-0.03038169,-0.03752643
604,-0.22091875,-0.03045136,-0.03752840
605,-0.22090998,-0.03054028,-0.03752989
606,-0.22089680,-0.03063961,-0.03753096
607,-0.22088613,-0.03071696,-0.03753215
608,-0.22087957,-0.03076463,-0.03753465
609,-0.22087282,-0.03080641,-0.03754026
610,-0.22087555,-0.03082557,-0.03755319
611,-0.22088179,-0.03082397,-0.03756571
612,-0.22088842,-0.03082654,-0.03757429
613,-0.22090654,-0.03081514,-0.03757799
614,-0.22092354,-0.03081980,-0.03758156
615,-0.22093336,-0.03085252,-0.03758860
616,-0.22093612,-0.03096628,-0.03759080
617,-0.22093812,-0.03110535,-0.03758860
618,-0.22093634,-0.03126422,-0.03758246
619,-0.22092171,-0.03142356,-0.03757393
620,-0.22088532,-0.03158825,-0.03755867
621,-0.22086060,-0.03170637,-0.03754526
622,-0.22082506,-0.03177813,-0.03752685
623,-0.22078854,-0.03182513,-0.03751069
624,-0.22076415,-0.03180998,-0.03749585
625,-0.22074510,-0.03175356,-0.03747922
626,-0.22073519,-0.03167185,-0.03746200
627,-0.22072256,-0.03159823,-0.03744644
