frame,health,est_x,est_y,est_z,ref_x,ref_y,ref_z
246,0,3.514881,-3.414102,0.0,-2.997053,3.47764,0.0
247,0,3.514881,-3.414102,0.0,-3.052873,3.488921,0.0
248,0,3.514881,-3.414102,0.0,-3.107835,3.496285,0.0
249,0,3.514881,-3.414102,0.0,-3.161925,3.499724,0.0
250,0,3.514881,-3.414102,0.0,-3.215127,3.499232,0.0
251,0,3.514881,-3.414102,0.0,-3.267427,3.494812,0.0
252,0,3.514881,-3.414102,0.0,-3.318809,3.486468,0.0
253,0,3.514881,-3.414102,0.0,-3.36926,3.474208,0.0
254,0,3.514881,-3.414102,0.0,-3.418765,3.458048,0.0
255,0,3.514881,-3.414102,0.0,-3.46731,3.438005,0.0
256,0,3.514881,-3.414102,0.0,-3.514881,3.414102,0.0
257,0,3.514881,-3.414102,0.0,-3.561466,3.386365,0.0
258,0,3.514881,-3.414102,0.0,-3.607051,3.354826,0.0
259,0,3.514881,-3.414102,0.0,-3.651624,3.31952,0.0
260,0,3.514881,-3.414102,0.0,-3.695171,3.280487,0.0
261,0,3.514881,-3.414102,0.0,-3.737682,3.23777,0.0
262,0,3.514881,-3.414102,0.0,-3.779142,3.191418,0.0
263,0,3.514881,-3.414102,0.0,-3.819542,3.141482,0.0
264,0,3.514881,-3.414102,0.0,-3.85887,3.088019,0.0
265,0,3.514881,-3.414102,0.0,-3.897114,3.031089,0.0
266,0,3.514881,-3.414102,0.0,-3.934265,2.970755,0.0
267,0,3.514881,-3.414102,0.0,-3.970311,2.907086,0.0
268,0,3.514881,-3.414102,0.0,-4.005242,2.840152,0.0
269,0,3.514881,-3.414102,0.0,-4.039049,2.770029,0.0
270,0,3.514881,-3.414102,0.0,-4.071722,2.696796,0.0
271,0,3.514881,-3.414102,0.0,-4.103252,2.620535,0.0
272,0,3.514881,-3.414102,0.0,-4.13363,2.541332,0.0
273,0,3.514881,-3.414102,0.0,-4.162847,2.459275,0.0
274,0,3.514881,-3.414102,0.0,-4.190896,2.374457,0.0
275,0,3.514881,-3.414102,0.0,-4.217769,2.286972,0.0
276,0,3.514881,-3.414102,0.0,-4.243457,2.19692,0.0
277,0,3.514881,-3.414102,0.0,-4.267955,2.104401,0.0
278,0,3.514881,-3.414102,0.0,-4.291254,2.009519,0.0
279,0,3.514881,-3.414102,0.0,-4.313348,1.91238,0.0
280,0,3.514881,-3.414102,0.0,-4.334232,1.813095,0.0
281,0,3.514881,-3.414102,0.0,-4.353898,1.711773,0.0
282,0,3.514881,-3.414102,0.0,-4.372343,1.60853,0.0
283,0,3.514881,-3.414102,0.0,-4.38956,1.50348,0.0
284,0,3.514881,-3.414102,0.0,-4.405545,1.396742,0.0
285,0,3.514881,-3.414102,0.0,-4.420293,1.288436,0.0
286,0,3.514881,-3.414102,0.0,-4.4338,1.178683,0.0
287,0,3.514881,-3.414102,0.0,-4.446062,1.067607,0.0
288,0,3.514881,-3.414102,0.0,-4.457076,0.955332,0.0
289,0,3.514881,-3.414102,0.0,-4.466839,0.841984,0.0
290,0,3.514881,-3.414102,0.0,-4.475349,0.727691,0.0
291,0,3.514881,-3.414102,0.0,-4.482601,0.612581,0.0
292,0,3.514881,-3.414102,0.0,-4.488596,0.496783,0.0
293,0,3.514881,-3.414102,0.0,-4.49333,0.380427,0.0
